idNumbebr,idNumber
15594,6809
15594,4357
15594,19202
15594,3760
15594,204
15594,1433
15594,2973
15594,14001
15594,16088
15594,12966
15594,18171
15594,12168
15594,8051
15594,14798
15594,2152
15594,17225
15594,11654
15594,9405
15594,4471
15594,18528
15594,11146
15594,5199
15594,12317
15594,14477
15594,11003
15594,2938
15594,9528
15594,11626
15594,16764
15594,3039
15594,800
15594,12866
15594,8525
15594,6555
15594,5432
15594,10722
15594,1120
15594,19204
15594,16515
15594,8884
15594,2250
15594,18391
15594,16743
15594,11384
8955,679
8955,3109
8955,10243
8955,18355
8955,15921
8955,3458
8955,3301
8955,6745
8955,12966
8955,8115
18321,11055
18321,9203
11055,11238
11055,5222
11055,431
11055,16240
11055,18173
11055,9913
11055,8716
11055,19028
11055,6064
11055,6668
11055,10319
11055,18474
11055,8432
11055,7142
11055,3563
11055,6496
11055,5271
11055,6603
11055,11088
11055,7653
11055,17388
11055,3986
11055,7071
11055,3581
11055,19034
11055,8199
11055,15385
11055,3189
11055,7982
11055,18211
11055,3720
11055,7539
11055,11568
11055,19064
11055,4237
11055,3255
11055,8289
11055,15623
11055,1157
11055,3100
11055,8585
11055,14607
11055,17980
11055,11593
11055,9872
11055,5461
11055,3462
11055,10888
11055,8142
11055,355
11055,12457
11055,4166
11055,19270
11055,3583
11055,13602
11055,8041
11055,128
11055,11533
11055,3966
11055,10338
11055,17789
11055,6764
11055,3765
11055,11471
11055,9060
11055,714
11055,13193
11055,11383
11055,19277
11055,16239
11055,12407
11055,6377
11055,9205
11055,12279
11055,12769
11055,7565
11055,16002
11055,11488
11055,6327
11055,6284
11055,14912
11055,10048
11055,4140
11055,14964
11055,14024
11055,17058
11055,8332
11055,9148
11055,4721
11055,3195
11055,17799
11055,16493
11055,349
11055,11175
11055,11474
11055,17241
11055,18920
11055,15757
11055,10337
11055,4567
11055,11895
11055,4523
11055,1079
11055,18470
11055,11665
11055,6014
11055,8443
11055,17833
11055,16841
11055,17931
11055,15817
11055,9156
11055,17345
11055,7258
11055,17899
11055,17572
11055,18263
11055,14376
11055,14836
11055,18853
11055,12223
11055,15512
11055,16990
11055,16756
11055,1300
11055,16476
11055,17897
11055,1660
11055,11017
11055,4370
11055,5618
11055,9905
11055,15667
11055,778
11055,934
11055,11506
11055,18049
11055,9981
11055,4942
11055,13634
11055,1074
11055,10070
11055,13667
11055,14396
11055,4790
11055,13120
11055,17716
11055,9224
11055,6595
11055,5872
11055,17994
11055,420
11055,14413
11055,9648
11055,382
11055,5634
11055,10772
11055,14561
11055,19054
11055,4537
11055,14279
11055,15697
11055,11282
11055,10122
11055,11436
11055,14642
11055,2053
11055,14301
11055,14545
11055,15024
