idNumbebr,idNumber
102,10400
102,2689
102,5642
102,6799
102,7572
102,9366
102,6500
102,8689
102,2189
102,7576
102,3844
102,3270
102,8742
102,6107
102,7535
102,2981
102,2699
102,7538
102,8860
102,8589
102,777
102,4029
102,4428
102,3068
102,782
102,8866
102,7410
102,9920
102,8165
102,2036
102,5924
102,5655
102,3595
102,5495
102,886
102,1979
102,3403
102,2534
102,5289
102,4753
102,7113
102,4353
102,592
102,4001
102,6821
102,3335
102,674
102,10030
102,2046
102,5764
102,9473
102,1712
102,3777
102,5387
102,897
102,6065
102,1671
102,10550
102,8254
102,3372
102,5637
102,1258
102,3624
102,4263
102,5002
102,6119
102,6176
102,6180
102,6566
102,6670
102,7293
102,7928
102,8407
102,9164
102,9220
102,9371
102,9712
102,9945
7084,789
7084,875
7084,886
7084,1118
7084,2534
7084,3219
7084,3418
7084,4263
7084,4273
7084,4569
7084,4751
7084,4991
7084,5392
7084,6176
7084,6840
7084,7041
7084,7083
7084,1845
7084,8022
7084,3373
7084,5900
7084,10439
7084,5032
7084,6405
7084,8985
7084,1261
7084,7165
7084,6834
7084,2143
7084,9366
7084,7003
7084,7050
7084,9945
7084,9826
7084,7250
7084,4205
7084,8860
7084,3554
7084,4029
7084,4428
7084,1782
7084,6005
7084,6668
7084,744
7084,8223
7084,8165
7084,9070
7084,4390
7084,2950
7084,80
7084,7812
7084,2578
7084,4800
7084,4753
7084,9590
7084,10627
7084,225
7084,6138
7084,2768
7084,6396
7084,1881
7084,6065
7084,6221
7084,7267
7084,1540
7084,100
7084,7307
7084,7928
7084,8211
7084,8928
7084,10079
9605,593
9605,801
9605,970
9605,2267
9605,2482
9605,3513
9605,3622
9605,3777
9605,4026
9605,4300
9605,5777
9605,6823
9605,7653
9605,7864
9605,8074
9605,8994
9605,9704
6405,275
6405,789
6405,1638
6405,2085
6405,2534
6405,2836
6405,3554
6405,3833
6405,4029
6405,4263
6405,4737
6405,4800
6405,5189
6405,5219
6405,5359
6405,5387
6405,5574
6405,5933
6405,6667
6405,7243
6405,7267
6405,8165
6405,8473
6405,8689
6405,8848
6405,8872
6405,9220
6405,10149
6405,10439
6405,10565
9366,69
9366,129
9366,250
9366,281
9366,789
9366,822
9366,886
9366,957
9366,970
9366,1021
9366,1091
9366,1323
9366,1534
9366,1766
9366,1778
9366,1838
9366,2042
9366,2356
9366,2378
9366,2569
9366,2653
9366,2836
9366,2981
9366,3023
9366,3186
9366,3418
9366,3432
9366,3485
9366,3594
9366,3968
9366,4029
9366,4033
9366,4111
9366,4146
9366,4190
9366,4263
9366,4589
9366,4699
9366,4800
9366,5002
9366,5032
9366,5184
9366,5258
9366,5574
9366,5740
9366,5787
9366,5933
9366,6119
9366,6429
9366,6790
9366,6846
9366,7041
9366,7248
9366,7267
9366,7273
9366,7535
9366,7723
9366,7928
9366,8049
9366,8165
9366,8190
9366,8496
9366,8528
9366,8563
9366,8582
9366,8689
9366,8762
9366,8912
9366,9220
9366,7939
9366,6834
9366,2456
9366,1105
9366,8266
9366,9371
9366,9393
9366,9420
9366,9510
9366,9621
9366,9712
9366,9717
9366,9883
9366,9945
9366,10421
9366,10424
9366,10547
9366,10607
6176,278
6176,769
6176,789
6176,822
6176,875
6176,886
6176,1391
6176,2042
6176,2143
6176,2534
6176,2823
6176,3023
6176,3152
6176,3777
6176,4001
6176,4800
6176,5258
6176,2885
6176,9682
6176,10095
6176,5032
6176,2389
6176,4111
6176,6799
6176,8148
6176,6500
6176,3783
6176,3617
6176,10106
6176,9826
6176,235
6176,357
6176,8311
6176,2981
6176,5618
6176,2983
6176,6667
6176,3068
6176,6668
6176,4390
6176,2491
6176,10424
6176,4263
6176,8409
6176,592
6176,6252
6176,9590
6176,4092
6176,225
6176,5765
6176,43
6176,3968
6176,8506
6176,6065
6176,7984
6176,1540
6176,2775
6176,9641
6176,7526
6176,8762
6176,8927
6176,9744
6176,10079
6176,10149
769,438
769,8151
769,4827
769,199
769,2979
769,2319
769,5490
769,5318
769,7323
769,5002
769,8664
769,10490
769,7505
769,664
769,6851
769,5655
769,2160
769,2994
769,38
769,4313
